2021-11-05 13:18:10
2021-11-05 18:42:16

step :5000 |ssim:0.5703| psnr:18.9811
step :375000 |ssim:0.9302| psnr:30.5008psnr:31.1834 |ssim:0.9782psnr:28.5854 |ssim:0.8900psnr:31.5982 |ssim:0.9228
step :380000 |ssim:0.9304| psnr:30.4557psnr:31.2511 |ssim:0.9784psnr:28.5834 |ssim:0.8903psnr:31.4728 |ssim:0.9215
step :385000 |ssim:0.9301| psnr:30.4358psnr:31.2456 |ssim:0.9785psnr:28.6053 |ssim:0.8903psnr:31.6751 |ssim:0.9240
step :390000 |ssim:0.9309| psnr:30.5086psnr:31.2322 |ssim:0.9784psnr:28.6032 |ssim:0.8903psnr:31.6997 |ssim:0.9237
step :395000 |ssim:0.9308| psnr:30.5117psnr:31.1027 |ssim:0.9775psnr:28.6099 |ssim:0.8902psnr:31.6050 |ssim:0.9231
step :400000 |ssim:0.9303| psnr:30.4392psnr:31.3012 |ssim:0.9785psnr:28.6069 |ssim:0.8903psnr:31.6393 |ssim:0.9223
step :405000 |ssim:0.9304| psnr:30.5158psnr:31.2102 |ssim:0.9782psnr:28.6053 |ssim:0.8902psnr:31.6761 |ssim:0.9236
step :410000 |ssim:0.9307| psnr:30.4972psnr:31.2252 |ssim:0.9782psnr:28.6106 |ssim:0.8902psnr:31.7163 |ssim:0.9240
step :415000 |ssim:0.9308| psnr:30.5174psnr:31.2183 |ssim:0.9784psnr:28.6181 |ssim:0.8903psnr:31.6648 |ssim:0.9235
step :420000 |ssim:0.9307| psnr:30.5004psnr:31.2806 |ssim:0.9783psnr:28.6142 |ssim:0.8905psnr:31.6994 |ssim:0.9236
step :425000 |ssim:0.9308| psnr:30.5314psnr:31.2896 |ssim:0.9786psnr:28.6165 |ssim:0.8905psnr:31.7113 |ssim:0.9235
step :430000 |ssim:0.9309| psnr:30.5391
 model saved at step :430000| max_psnr:30.5391|max_ssim:0.9309psnr:31.2849 |ssim:0.9785psnr:28.6190 |ssim:0.8903psnr:31.7061 |ssim:0.9235
step :435000 |ssim:0.9308| psnr:30.5367psnr:31.2119 |ssim:0.9781psnr:28.6180 |ssim:0.8903psnr:31.6939 |ssim:0.9234
step :440000 |ssim:0.9306| psnr:30.5079psnr:31.2202 |ssim:0.9783psnr:28.6213 |ssim:0.8905psnr:31.6742 |ssim:0.9241
step :445000 |ssim:0.9310| psnr:30.5053psnr:31.2517 |ssim:0.9784psnr:28.6137 |ssim:0.8903psnr:31.7434 |ssim:0.9243
step :450000 |ssim:0.9310| psnr:30.5363psnr:31.2191 |ssim:0.9782psnr:28.6206 |ssim:0.8904psnr:31.6837 |ssim:0.9240
step :455000 |ssim:0.9309| psnr:30.5078psnr:31.2417 |ssim:0.9783psnr:28.6207 |ssim:0.8904psnr:31.7128 |ssim:0.9240
step :460000 |ssim:0.9309| psnr:30.5251psnr:31.2480 |ssim:0.9784psnr:28.6221 |ssim:0.8905psnr:31.7034 |ssim:0.9237
step :465000 |ssim:0.9309| psnr:30.5245psnr:31.2462 |ssim:0.9784psnr:28.6219 |ssim:0.8905psnr:31.6957 |ssim:0.9237
step :470000 |ssim:0.9309| psnr:30.5213psnr:31.2436 |ssim:0.9784psnr:28.6200 |ssim:0.8904psnr:31.6962 |ssim:0.9236
step :475000 |ssim:0.9308| psnr:30.5199psnr:31.2408 |ssim:0.9784psnr:28.6236 |ssim:0.8905psnr:31.7109 |ssim:0.9240
step :480000 |ssim:0.9309| psnr:30.5251psnr:31.2615 |ssim:0.9785psnr:28.6237 |ssim:0.8905psnr:31.7020 |ssim:0.9239
step :485000 |ssim:0.9310| psnr:30.5291psnr:31.2599 |ssim:0.9785psnr:28.6214 |ssim:0.8904psnr:31.7107 |ssim:0.9239
step :490000 |ssim:0.9309| psnr:30.5307psnr:31.2600 |ssim:0.9785psnr:28.6226 |ssim:0.8905psnr:31.7094 |ssim:0.9240
step :495000 |ssim:0.9310| psnr:30.5307psnr:31.2579 |ssim:0.9784psnr:28.6225 |ssim:0.8905psnr:31.7104 |ssim:0.9240
step :500000 |ssim:0.9310| psnr:30.53022023-01-10 21:09:422023-02-01 20:49:58
2023-02-01 20:50:23
2023-02-01 20:50:47
2023-02-01 20:53:02
psnr:29.5994 |ssim:0.9705psnr:12.6433 |ssim:0.3523psnr:27.5496 |ssim:0.8617
step :5000 |ssim:0.7282| psnr:23.2641
 model saved at step :5000| max_psnr:23.2641|max_ssim:0.7282psnr:31.3905 |ssim:0.9776psnr:12.4698 |ssim:0.3564psnr:27.4249 |ssim:0.8562
step :10000 |ssim:0.7301| psnr:23.7617
 model saved at step :10000| max_psnr:23.7617|max_ssim:0.7301psnr:30.8150 |ssim:0.9760psnr:12.3307 |ssim:0.3531psnr:29.0333 |ssim:0.8882
step :15000 |ssim:0.7391| psnr:24.0597
 model saved at step :15000| max_psnr:24.0597|max_ssim:0.7391psnr:29.9519 |ssim:0.9710psnr:12.2177 |ssim:0.3558psnr:29.5836 |ssim:0.8926
step :20000 |ssim:0.7398| psnr:23.9177psnr:30.6489 |ssim:0.9739psnr:12.3352 |ssim:0.3511psnr:27.7215 |ssim:0.8683
step :25000 |ssim:0.7311| psnr:23.5685psnr:31.2453 |ssim:0.9785psnr:12.0635 |ssim:0.3542psnr:29.6416 |ssim:0.8942
step :30000 |ssim:0.7423| psnr:24.3168
 model saved at step :30000| max_psnr:24.3168|max_ssim:0.7423psnr:30.8635 |ssim:0.9762psnr:12.1921 |ssim:0.35342023-02-02 09:51:52
psnr:29.4579 |ssim:0.9717psnr:24.4217 |ssim:0.7869
step :5000 |ssim:0.8793| psnr:26.9398
 model saved at step :5000| max_psnr:26.9398|max_ssim:0.8793psnr:30.1226 |ssim:0.9723psnr:25.2376 |ssim:0.8041
step :10000 |ssim:0.8882| psnr:27.6801
 model saved at step :10000| max_psnr:27.6801|max_ssim:0.8882psnr:29.7113 |ssim:0.9713psnr:25.4724 |ssim:0.8101
step :15000 |ssim:0.8907| psnr:27.5918psnr:30.2335 |ssim:0.9721psnr:24.8274 |ssim:0.8043
step :20000 |ssim:0.8882| psnr:27.5305psnr:29.8224 |ssim:0.9721psnr:26.2081 |ssim:0.8335
step :25000 |ssim:0.9028| psnr:28.0152
 model saved at step :25000| max_psnr:28.0152|max_ssim:0.9028psnr:30.7946 |ssim:0.9770psnr:26.3289 |ssim:0.8331
step :30000 |ssim:0.9050| psnr:28.5617
 model saved at step :30000| max_psnr:28.5617|max_ssim:0.9050psnr:30.0834 |ssim:0.9748psnr:26.6893 |ssim:0.8435
step :35000 |ssim:0.9092| psnr:28.3863psnr:29.6688 |ssim:0.9737psnr:26.6073 |ssim:0.8469
step :40000 |ssim:0.9103| psnr:28.1381psnr:30.7595 |ssim:0.9766psnr:26.8237 |ssim:0.8504
step :45000 |ssim:0.9135| psnr:28.7916
 model saved at step :45000| max_psnr:28.7916|max_ssim:0.9135psnr:29.5039 |ssim:0.9720psnr:26.9735 |ssim:0.8537
step :50000 |ssim:0.9128| psnr:28.2387psnr:30.0032 |ssim:0.9738psnr:26.9056 |ssim:0.8574
step :55000 |ssim:0.9156| psnr:28.4544psnr:30.6082 |ssim:0.9763psnr:26.9162 |ssim:0.8574
step :60000 |ssim:0.9168| psnr:28.7622psnr:29.9457 |ssim:0.9730psnr:27.2702 |ssim:0.8573
step :65000 |ssim:0.9151| psnr:28.6080psnr:30.6004 |ssim:0.9756psnr:26.6849 |ssim:0.8392
step :70000 |ssim:0.9074| psnr:28.6427psnr:30.7282 |ssim:0.9759psnr:27.4357 |ssim:0.8676
step :75000 |ssim:0.9217| psnr:29.0819
 model saved at step :75000| max_psnr:29.0819|max_ssim:0.9217psnr:30.5527 |ssim:0.9756psnr:27.4359 |ssim:0.8607
step :80000 |ssim:0.9182| psnr:28.9943psnr:29.4600 |ssim:0.9711psnr:27.4424 |ssim:0.8660
step :85000 |ssim:0.9186| psnr:28.4512psnr:30.1357 |ssim:0.9749psnr:27.6317 |ssim:0.8694
step :90000 |ssim:0.9222| psnr:28.8837psnr:29.6982 |ssim:0.9746psnr:27.3960 |ssim:0.8642
step :95000 |ssim:0.9194| psnr:28.5471psnr:30.9279 |ssim:0.9774psnr:27.7505 |ssim:0.8717
step :100000 |ssim:0.9246| psnr:29.3392
 model saved at step :100000| max_psnr:29.3392|max_ssim:0.9246psnr:30.4518 |ssim:0.9767psnr:27.7216 |ssim:0.8711
step :105000 |ssim:0.9239| psnr:29.0867psnr:31.0028 |ssim:0.9780psnr:27.7183 |ssim:0.8718
step :110000 |ssim:0.9249| psnr:29.3605
 model saved at step :110000| max_psnr:29.3605|max_ssim:0.9249psnr:30.1879 |ssim:0.9699psnr:27.3536 |ssim:0.8629
step :115000 |ssim:0.9164| psnr:28.7708psnr:30.2695 |ssim:0.9740psnr:27.9232 |ssim:0.8776
step :120000 |ssim:0.9258| psnr:29.0963psnr:30.2713 |ssim:0.9766psnr:27.9524 |ssim:0.8770
step :125000 |ssim:0.9268| psnr:29.1118psnr:30.2545 |ssim:0.9748psnr:27.6907 |ssim:0.8693
step :130000 |ssim:0.9221| psnr:28.9726psnr:30.4024 |ssim:0.9752psnr:27.7235 |ssim:0.8715
step :135000 |ssim:0.9233| psnr:29.0629psnr:30.9166 |ssim:0.9762psnr:28.0459 |ssim:0.8775
step :140000 |ssim:0.9268| psnr:29.4813
 model saved at step :140000| max_psnr:29.4813|max_ssim:0.9268psnr:30.0460 |ssim:0.9754psnr:27.8557 |ssim:0.8740
step :145000 |ssim:0.9247| psnr:28.9509psnr:30.1789 |ssim:0.9743psnr:28.0414 |ssim:0.8771
step :150000 |ssim:0.9257| psnr:29.1101psnr:30.2603 |ssim:0.9752psnr:28.1014 |ssim:0.8782
step :155000 |ssim:0.9267| psnr:29.1808psnr:30.4565 |ssim:0.9756psnr:28.0818 |ssim:0.8782
step :160000 |ssim:0.9269| psnr:29.2691psnr:30.6514 |ssim:0.9743psnr:28.0661 |ssim:0.8781
step :165000 |ssim:0.9262| psnr:29.3587psnr:30.4449 |ssim:0.9759psnr:28.2635 |ssim:0.8823
step :170000 |ssim:0.9291| psnr:29.3542psnr:30.6529 |ssim:0.9762psnr:27.9834 |ssim:0.8770
step :175000 |ssim:0.9266| psnr:29.3181psnr:30.8232 |ssim:0.9774psnr:28.2203 |ssim:0.8804
step :180000 |ssim:0.9289| psnr:29.5217
 model saved at step :180000| max_psnr:29.5217|max_ssim:0.9289psnr:30.6455 |ssim:0.9759psnr:28.1059 |ssim:0.8803
step :185000 |ssim:0.9281| psnr:29.3757psnr:31.0166 |ssim:0.9776psnr:28.2763 |ssim:0.8814
step :190000 |ssim:0.9295| psnr:29.6465
 model saved at step :190000| max_psnr:29.6465|max_ssim:0.9295psnr:30.6412 |ssim:0.9764psnr:28.2232 |ssim:0.8817
step :195000 |ssim:0.9290| psnr:29.4322psnr:30.3915 |ssim:0.9766psnr:28.0382 |ssim:0.8807
step :200000 |ssim:0.9286| psnr:29.2149psnr:29.8385 |ssim:0.9761psnr:28.3072 |ssim:0.8844
step :205000 |ssim:0.9303| psnr:29.0729psnr:30.6650 |ssim:0.9773psnr:28.3293 |ssim:0.8848
step :210000 |ssim:0.9310| psnr:29.4971psnr:30.4772 |ssim:0.9764psnr:28.2507 |ssim:0.8830
step :215000 |ssim:0.9297| psnr:29.3640psnr:30.3874 |ssim:0.9755psnr:28.3615 |ssim:0.8840
step :220000 |ssim:0.9297| psnr:29.3744psnr:30.7117 |ssim:0.9768psnr:27.9640 |ssim:0.8813
step :225000 |ssim:0.9290| psnr:29.3379psnr:30.0903 |ssim:0.9742psnr:28.4168 |ssim:0.8860
step :230000 |ssim:0.9301| psnr:29.2535psnr:30.3685 |ssim:0.9756psnr:28.4009 |ssim:0.8853
step :235000 |ssim:0.9305| psnr:29.3847psnr:30.6803 |ssim:0.9763psnr:28.3738 |ssim:0.8869
step :240000 |ssim:0.9316| psnr:29.5271psnr:30.9321 |ssim:0.9782psnr:28.4576 |ssim:0.8866
step :245000 |ssim:0.9324| psnr:29.6949
 model saved at step :245000| max_psnr:29.6949|max_ssim:0.9324psnr:30.0757 |ssim:0.9749psnr:28.4181 |ssim:0.8850
step :250000 |ssim:0.9300| psnr:29.2469psnr:30.9892 |ssim:0.9780psnr:28.4908 |ssim:0.8872
step :255000 |ssim:0.9326| psnr:29.7400
 model saved at step :255000| max_psnr:29.7400|max_ssim:0.9326psnr:30.7742 |ssim:0.9777psnr:28.4481 |ssim:0.8879
step :260000 |ssim:0.9328| psnr:29.6111psnr:30.5172 |ssim:0.9770psnr:28.4797 |ssim:0.8871
step :265000 |ssim:0.9320| psnr:29.4984psnr:30.4785 |ssim:0.9769psnr:28.5270 |ssim:0.8880
step :270000 |ssim:0.9324| psnr:29.5027psnr:30.8653 |ssim:0.9777psnr:28.5021 |ssim:0.8878
step :275000 |ssim:0.9328| psnr:29.6837psnr:30.4375 |ssim:0.9769psnr:28.5057 |ssim:0.8883
step :280000 |ssim:0.9326| psnr:29.4716psnr:30.9330 |ssim:0.9781psnr:28.3954 |ssim:0.8864
step :285000 |ssim:0.9322| psnr:29.6642psnr:30.7149 |ssim:0.9776psnr:28.3715 |ssim:0.8872
step :290000 |ssim:0.9324| psnr:29.5432psnr:30.4650 |ssim:0.9769psnr:28.5656 |ssim:0.8891
step :295000 |ssim:0.9330| psnr:29.5153psnr:30.7566 |ssim:0.9778psnr:28.5825 |ssim:0.8898
step :300000 |ssim:0.9338| psnr:29.6696psnr:30.8664 |ssim:0.9781psnr:28.5584 |ssim:0.8896
step :305000 |ssim:0.9339| psnr:29.7124psnr:31.0400 |ssim:0.9786psnr:28.5687 |ssim:0.8900
step :310000 |ssim:0.9343| psnr:29.8043
 model saved at step :310000| max_psnr:29.8043|max_ssim:0.9343psnr:31.1102 |ssim:0.9786psnr:28.5071 |ssim:0.8894
step :315000 |ssim:0.9340| psnr:29.8087psnr:30.9367 |ssim:0.9786psnr:28.6119 |ssim:0.8900
step :320000 |ssim:0.9343| psnr:29.7743psnr:31.0649 |ssim:0.9788psnr:28.6266 |ssim:0.8906
step :325000 |ssim:0.9347| psnr:29.8457
 model saved at step :325000| max_psnr:29.8457|max_ssim:0.9347psnr:31.2210 |ssim:0.9785psnr:28.6079 |ssim:0.8904
step :330000 |ssim:0.9345| psnr:29.9145psnr:30.9221 |ssim:0.9782psnr:28.6013 |ssim:0.8901
step :335000 |ssim:0.9341| psnr:29.7617psnr:30.8861 |ssim:0.9780psnr:28.5854 |ssim:0.8897
step :340000 |ssim:0.9339| psnr:29.7357psnr:30.8768 |ssim:0.9782psnr:28.5907 |ssim:0.8898
step :345000 |ssim:0.9340| psnr:29.7337psnr:30.8698 |ssim:0.9780psnr:28.6076 |ssim:0.8901
step :350000 |ssim:0.9341| psnr:29.7387psnr:31.0710 |ssim:0.9784psnr:28.6577 |ssim:0.8907
step :355000 |ssim:0.9346| psnr:29.8643psnr:30.9274 |ssim:0.9783psnr:28.6216 |ssim:0.8906
step :360000 |ssim:0.9345| psnr:29.7745psnr:30.9576 |ssim:0.9783psnr:28.5583 |ssim:0.8896
step :365000 |ssim:0.9340| psnr:29.7580psnr:31.0477 |ssim:0.9786psnr:28.6498 |ssim:0.8911
step :370000 |ssim:0.9349| psnr:29.8487
 model saved at step :370000| max_psnr:29.8487|max_ssim:0.9349psnr:31.0590 |ssim:0.9788psnr:28.6608 |ssim:0.8913
step :375000 |ssim:0.9350| psnr:29.8599
 model saved at step :375000| max_psnr:29.8599|max_ssim:0.9350psnr:30.9127 |ssim:0.9783psnr:28.6344 |ssim:0.8908
step :380000 |ssim:0.9345| psnr:29.7736psnr:31.0328 |ssim:0.9785psnr:28.6468 |ssim:0.8909
step :385000 |ssim:0.9347| psnr:29.8398psnr:31.1137 |ssim:0.9790psnr:28.6359 |ssim:0.8913
step :390000 |ssim:0.9351| psnr:29.8748
 model saved at step :390000| max_psnr:29.8748|max_ssim:0.9351psnr:31.0238 |ssim:0.9786psnr:28.6459 |ssim:0.8912
step :395000 |ssim:0.9349| psnr:29.8349psnr:31.0670 |ssim:0.9786psnr:28.6401 |ssim:0.8912
step :400000 |ssim:0.9349| psnr:29.8536psnr:31.0914 |ssim:0.9789psnr:28.6386 |ssim:0.8914
step :405000 |ssim:0.9351| psnr:29.8650psnr:31.1877 |ssim:0.9788psnr:28.6459 |ssim:0.8914
step :410000 |ssim:0.9351| psnr:29.9168psnr:31.0944 |ssim:0.9788psnr:28.6602 |ssim:0.8915
step :415000 |ssim:0.9352| psnr:29.8773
 model saved at step :415000| max_psnr:29.8773|max_ssim:0.9352psnr:31.1235 |ssim:0.9790psnr:28.6483 |ssim:0.8916
step :420000 |ssim:0.9353| psnr:29.8859
 model saved at step :420000| max_psnr:29.8859|max_ssim:0.9353psnr:31.0795 |ssim:0.9788psnr:28.6625 |ssim:0.8914
step :425000 |ssim:0.9351| psnr:29.8710psnr:31.1710 |ssim:0.9790psnr:28.6620 |ssim:0.8915
step :430000 |ssim:0.9352| psnr:29.9165psnr:31.1076 |ssim:0.9789psnr:28.6572 |ssim:0.8917
step :435000 |ssim:0.9353| psnr:29.8824psnr:31.0664 |ssim:0.9788psnr:28.6497 |ssim:0.8916
step :440000 |ssim:0.9352| psnr:29.8581psnr:31.1132 |ssim:0.9788psnr:28.6646 |ssim:0.8916
step :445000 |ssim:0.9352| psnr:29.8889psnr:31.1295 |ssim:0.9789psnr:28.6609 |ssim:0.8917
step :450000 |ssim:0.9353| psnr:29.8952
 model saved at step :450000| max_psnr:29.8952|max_ssim:0.9353psnr:31.1217 |ssim:0.9789psnr:28.6629 |ssim:0.8915
step :455000 |ssim:0.9352| psnr:29.8923psnr:31.1464 |ssim:0.9789psnr:28.6489 |ssim:0.8914
step :460000 |ssim:0.9352| psnr:29.8977psnr:31.1437 |ssim:0.9789psnr:28.6566 |ssim:0.8916
step :465000 |ssim:0.9353| psnr:29.9002psnr:31.1445 |ssim:0.9790psnr:28.6568 |ssim:0.8918
step :470000 |ssim:0.9354| psnr:29.9007
 model saved at step :470000| max_psnr:29.9007|max_ssim:0.9354psnr:31.1433 |ssim:0.9790psnr:28.6598 |ssim:0.8917
step :475000 |ssim:0.9353| psnr:29.9015psnr:31.1404 |ssim:0.9789psnr:28.6649 |ssim:0.8917
step :480000 |ssim:0.9353| psnr:29.9026psnr:31.1393 |ssim:0.9789psnr:28.6635 |ssim:0.8917
step :485000 |ssim:0.9353| psnr:29.9014psnr:31.1408 |ssim:0.9789psnr:28.6632 |ssim:0.8917
step :490000 |ssim:0.9353| psnr:29.9020psnr:31.1411 |ssim:0.9790psnr:28.6650 |ssim:0.8917
step :495000 |ssim:0.9353| psnr:29.9030psnr:31.1416 |ssim:0.9790psnr:28.6647 |ssim:0.8917
step :500000 |ssim:0.9353| psnr:29.90322023-02-06 05:42:152023-02-06 12:42:42
2023-02-06 12:42:57
2023-02-07 13:36:41
psnr:29.9863 |ssim:0.9690psnr:27.5014 |ssim:0.8632psnr:30.0173 |ssim:0.8973
step :45000 |ssim:0.9098| psnr:29.1683psnr:29.3384 |ssim:0.9700psnr:27.6417 |ssim:0.8543psnr:30.6568 |ssim:0.9129
step :50000 |ssim:0.9124| psnr:29.2123psnr:30.1708 |ssim:0.9712psnr:27.6280 |ssim:0.8687psnr:29.6760 |ssim:0.8955
step :55000 |ssim:0.9118| psnr:29.1582psnr:30.5502 |ssim:0.9746psnr:27.8327 |ssim:0.8768psnr:30.4459 |ssim:0.9061
step :60000 |ssim:0.9192| psnr:29.6096
 model saved at step :60000| max_psnr:29.6096|max_ssim:0.9192psnr:29.3712 |ssim:0.9655psnr:27.9280 |ssim:0.8744psnr:31.0896 |ssim:0.9146
step :65000 |ssim:0.9182| psnr:29.4629psnr:29.6056 |ssim:0.9724psnr:27.7909 |ssim:0.8704psnr:30.9241 |ssim:0.9124
step :70000 |ssim:0.9184| psnr:29.4402psnr:20.7307 |ssim:0.8766psnr:27.2714 |ssim:0.8641psnr:28.8496 |ssim:0.8843
step :75000 |ssim:0.8750| psnr:25.6172psnr:30.2660 |ssim:0.9729psnr:27.7441 |ssim:0.8763psnr:30.7550 |ssim:0.9126
step :80000 |ssim:0.9206| psnr:29.5884psnr:30.5160 |ssim:0.9757psnr:27.8650 |ssim:0.8650psnr:30.9664 |ssim:0.9144
step :85000 |ssim:0.9184| psnr:29.7824psnr:29.4796 |ssim:0.9733psnr:28.0297 |ssim:0.8803psnr:30.7197 |ssim:0.9150
step :90000 |ssim:0.9229| psnr:29.4097psnr:29.8211 |ssim:0.9728psnr:27.5232 |ssim:0.8759psnr:31.0140 |ssim:0.9121
step :95000 |ssim:0.9202| psnr:29.4527psnr:29.6263 |ssim:0.9697psnr:27.7341 |ssim:0.8732psnr:30.4249 |ssim:0.9058
step :100000 |ssim:0.9162| psnr:29.2618psnr:30.2813 |ssim:0.9736psnr:28.0516 |ssim:0.8779psnr:30.9952 |ssim:0.9139
step :105000 |ssim:0.9218| psnr:29.7760
 model saved at step :105000| max_psnr:29.7760|max_ssim:0.9218psnr:30.5968 |ssim:0.9757psnr:28.1787 |ssim:0.8835psnr:31.2988 |ssim:0.9227
step :110000 |ssim:0.9273| psnr:30.0248
 model saved at step :110000| max_psnr:30.0248|max_ssim:0.9273psnr:29.5588 |ssim:0.9693psnr:27.9992 |ssim:0.8739psnr:30.7908 |ssim:0.9115
step :115000 |ssim:0.9182| psnr:29.4496psnr:nan |ssim:nanpsnr:nan |ssim:nanpsnr:nan |ssim:nan
step :120000 |ssim:nan| psnr:nanpsnr:nan |ssim:nanpsnr:nan |ssim:nanpsnr:nan |ssim:nan
step :125000 |ssim:nan| psnr:nanpsnr:nan |ssim:nanpsnr:nan |ssim:nanpsnr:nan |ssim:nan
step :130000 |ssim:nan| psnr:nanpsnr:nan |ssim:nanpsnr:nan |ssim:nanpsnr:nan |ssim:nan
step :135000 |ssim:nan| psnr:nanpsnr:nan |ssim:nanpsnr:nan |ssim:nan2023-02-14 21:01:48
psnr:29.5579 |ssim:0.9698psnr:27.8012 |ssim:0.8757psnr:30.3097 |ssim:0.9052
step :125000 |ssim:0.9169| psnr:29.2229psnr:30.1743 |ssim:0.9710psnr:27.4908 |ssim:0.8617psnr:30.6759 |ssim:0.9075
step :130000 |ssim:0.9134| psnr:29.4470psnr:30.0858 |ssim:0.9735psnr:28.1304 |ssim:0.8833psnr:31.3947 |ssim:0.9226
step :135000 |ssim:0.9265| psnr:29.8703psnr:30.1795 |ssim:0.9729psnr:27.8344 |ssim:0.8808psnr:31.2212 |ssim:0.9161
step :140000 |ssim:0.9232| psnr:29.7450psnr:nan |ssim:nanpsnr:nan |ssim:nanpsnr:nan |ssim:nan
step :145000 |ssim:nan| psnr:nanpsnr:nan |ssim:nanpsnr:nan |ssim:nanpsnr:nan |ssim:nan
step :150000 |ssim:nan| psnr:nanpsnr:nan |ssim:nanpsnr:nan |ssim:nanpsnr:nan |ssim:nan
step :155000 |ssim:nan| psnr:nanpsnr:nan |ssim:nanpsnr:nan |ssim:nan2023-02-15 10:44:57
psnr:29.7623 |ssim:0.9707psnr:27.8503 |ssim:0.8793psnr:31.1846 |ssim:0.9170
step :145000 |ssim:0.9223| psnr:29.5991psnr:30.1808 |ssim:0.9733psnr:28.1128 |ssim:0.8819psnr:31.3251 |ssim:0.9215
step :150000 |ssim:0.9256| psnr:29.8729psnr:30.5649 |ssim:0.9752psnr:28.1966 |ssim:0.8856psnr:31.4540 |ssim:0.9240
step :155000 |ssim:0.9283| psnr:30.0718psnr:29.7184 |ssim:0.9696psnr:28.0584 |ssim:0.8828psnr:31.4703 |ssim:0.9176
step :160000 |ssim:0.9233| psnr:29.7490psnr:30.6092 |ssim:0.9760psnr:28.2150 |ssim:0.8853psnr:31.8557 |ssim:0.9243
step :165000 |ssim:0.9285| psnr:30.2266
 model saved at step :165000| max_psnr:30.2266|max_ssim:0.9285psnr:nan |ssim:nanpsnr:nan |ssim:nanpsnr:nan |ssim:nan
step :170000 |ssim:nan| psnr:nanpsnr:nan |ssim:nanpsnr:nan |ssim:nanpsnr:nan |ssim:nan
step :175000 |ssim:nan| psnr:nanpsnr:nan |ssim:nanpsnr:nan |ssim:nanpsnr:nan |ssim:nan
step :180000 |ssim:nan| psnr:nanpsnr:nan |ssim:nanpsnr:nan |ssim:nanpsnr:nan |ssim:nan
step :185000 |ssim:nan| psnr:nanpsnr:nan |ssim:nanpsnr:nan |ssim:nanpsnr:nan |ssim:nan
step :190000 |ssim:nan| psnr:nanpsnr:nan |ssim:nanpsnr:nan |ssim:nanpsnr:nan |ssim:nan
step :195000 |ssim:nan| psnr:nanpsnr:nan |ssim:nanpsnr:nan |ssim:nanpsnr:nan |ssim:nan
step :200000 |ssim:nan| psnr:nanpsnr:nan |ssim:nanpsnr:nan |ssim:nanpsnr:nan |ssim:nan
step :205000 |ssim:nan| psnr:nanpsnr:nan |ssim:nanpsnr:nan |ssim:nanpsnr:nan |ssim:nan
step :210000 |ssim:nan| psnr:nanpsnr:nan |ssim:nanpsnr:nan |ssim:nan2023-02-16 11:28:52
psnr:29.9748 |ssim:0.9745psnr:28.0869 |ssim:0.8843psnr:31.1632 |ssim:0.9182
step :170000 |ssim:0.9257| psnr:29.7416psnr:30.2560 |ssim:0.9740psnr:28.3247 |ssim:0.8856psnr:31.8371 |ssim:0.9244
step :175000 |ssim:0.9280| psnr:30.1393psnr:30.1887 |ssim:0.9754psnr:28.3280 |ssim:0.8869psnr:31.8600 |ssim:0.9259
step :180000 |ssim:0.9294| psnr:30.1256psnr:30.4876 |ssim:0.9753psnr:28.1254 |ssim:0.8834psnr:31.2658 |ssim:0.9177
step :185000 |ssim:0.9255| psnr:29.9596psnr:30.7637 |ssim:0.9767psnr:28.1089 |ssim:0.8839psnr:31.4484 |ssim:0.9229
step :190000 |ssim:0.9278| psnr:30.1070psnr:30.5859 |ssim:0.9756psnr:28.2776 |ssim:0.8866psnr:31.9126 |ssim:0.9270
step :195000 |ssim:0.9298| psnr:30.2587
 model saved at step :195000| max_psnr:30.2587|max_ssim:0.9298psnr:30.4003 |ssim:0.9757psnr:28.2759 |ssim:0.8851psnr:31.4074 |ssim:0.9235
step :200000 |ssim:0.9281| psnr:30.0279psnr:30.0802 |ssim:0.9722psnr:28.1576 |ssim:0.8817psnr:31.3166 |ssim:0.9152
step :205000 |ssim:0.9231| psnr:29.8515psnr:29.6697 |ssim:0.9723psnr:27.8965 |ssim:0.8816psnr:31.1865 |ssim:0.9187
step :210000 |ssim:0.9242| psnr:29.5842psnr:30.6956 |ssim:0.9761psnr:28.3415 |ssim:0.8877psnr:31.9115 |ssim:0.9252
step :215000 |ssim:0.9297| psnr:30.3162psnr:30.4429 |ssim:0.9752psnr:28.3241 |ssim:0.8867psnr:32.0817 |ssim:0.9275
step :220000 |ssim:0.9298| psnr:30.2829
 model saved at step :220000| max_psnr:30.2829|max_ssim:0.9298psnr:28.5615 |ssim:0.9634psnr:25.9268 |ssim:0.8222psnr:28.9051 |ssim:0.8786
step :225000 |ssim:0.8881| psnr:27.7978psnr:nan |ssim:nanpsnr:nan |ssim:nanpsnr:nan |ssim:nan
step :230000 |ssim:nan| psnr:nan2023-02-17 10:23:32
psnr:30.3261 |ssim:0.9744psnr:28.3345 |ssim:0.8836psnr:32.0281 |ssim:0.9274
step :230000 |ssim:0.9285| psnr:30.2295psnr:30.2710 |ssim:0.9742psnr:28.3390 |ssim:0.8858psnr:31.9469 |ssim:0.9260
step :235000 |ssim:0.9287| psnr:30.1856psnr:30.5961 |ssim:0.9759psnr:28.2092 |ssim:0.8829psnr:31.8428 |ssim:0.9249
step :240000 |ssim:0.9279| psnr:30.2160psnr:30.3196 |ssim:0.9748psnr:28.2192 |ssim:0.8864psnr:32.0177 |ssim:0.9271
